All,Semua
"One or more of the Cache Types are invalidated: %1. ","Satu atau beberapa Jenis Cache tidak berlaku: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Silakan buka <a href=""%1""> Manajemen Cache </a> dan segarkan jenis cache."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Kami tidak dapat menyinkronkan satu atau beberapa file media. Silakan merujuk ke file log untuk rinciannya."
"Synchronization of media storages has been completed.","Sinkronisasi penyimpanan media telah selesai."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Web server anda pengaturannya tidak benar dan mengizinkan tanpa autorisasi ke file-file sensitiff. Silahkan hubungi penyedia hosting anda."
"System Messages:","Pesan Sistem:"
"Critical System Messages","Sistem pesan kritis"
"Major System Messages","Pesan Sistem Utama"
"System messages","Pesan sistem"
Close,Tutup
"See All (","Lihat Semua ("
" unread)"," belum dibaca)"
"Show Toolbar","Tampilkan Toolbar"
"Show List","Tampilkan Daftar"
"Use HTTPS to Get Feed","Gunakan HTTPS untuk Mendapatkan Feed"
"Update Frequency","Perbarui Frekuensi"
"Last Update","Pembaharuan Terakhir"
Severity,Kerasnya
"Date Added","Tanggal Ditambahkan"
Message,Pesan
Actions,Tindakan
"Close popup","Tutup popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Anda telah melihat dan menyelesaikan semua pemberitahuan sistem terbaru. Harap segarkan halaman web untuk menghapus pemberitahuan pemberitahuan."
"Manage Shopping Cart","Atur Keranjang Belanja"
"Create Order","Buat Pesanan"
Back,Kembali
"Add Products","Tambahkan Produk"
"Update Items and Quantities","Perbarui Item dan Kuantitas"
"Are you sure you want to clear your cart?","Anda yakin ingin mengosongkan keranjang belanja?"
"Clear my shopping cart","Kosongkan keranjang Belanja saya"
"Add selections to my cart","Tambahkan pilihan ke keranjang Saya"
Cancel,Membatalkan
"Shopping Cart for %1 in %2","Daftar Belanja untuk %1 di %2"
"Select products you want to buy","Pilih Produk Yang Ingin Anda Beli"
Product,Produk
Price,Harga
Quantity,Kualitas
"Products in the Comparison List (%1)","Produk dalam Daftar Perbandingan harga (%1)"
"Last ordered items (%1)","Item terakhir yang dipesan (%1)"
Products,Produk
ID,Id
"Recently Compared Products (%1)","Produk yang Baru Dibanding (%1)"
"Recently Viewed Products (%1)","Produk yang Baru Dilihat (%1)"
"Add to Shopping Cart by SKU","Tambahkan ke Keranjang Belanja oleh SKU"
"Add to Shopping Cart","Kembali ke Keranjang Belanja"
"Wish List (%1)","Daftar Keinginan (%1)"
Apply,Menerapkan
Configure,Konfigurasikan
"Add to Order by SKU","Tambahkan ke Daftar Pesanan SKU"
"Add to Order","Tambahkan ke Pesanan"
"Add Products to Order","Tambahkan Produk Ke Pesanan"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span> <span id =""sku-attention-num"">produk(s)%1</span> memerlukan perhatian. </span>"
"Remove All","Hapus semuanya"
"Only %1%2%3 left in stock","Hanya Tersedia %1%2%3"
"You can buy up to %1 of these per purchase.","Anda dapat membeli hingga %1 dari pembelian ini."
"You must buy at least %1 of these per purchase.","Anda harus membeli setidaknya% 1 dari pembelian ini."
"Specify the product's options.","Harap Tentukan pilihan produk."
"Alert me when this item is available.","Peringatkan saya bila item ini tersedia."
"We can't find this customer.","Kami tidak dapat menemukan pelanggan ini."
"Shopping cart management is disabled for this customer.","Pengelolaan keranjang belanja di nonaktifkan untuk pelanggan ini."
"We can't find this store.","Kami tidak dapat menemukan toko ini."
Customers,Pelanggan
"Shopping Cart","Kereta Belanja"
"Sorry, something went wrong. You can find out more in the error log.","Maaf, ada yang tidak beres. Anda bisa mencari tahu lebih dalam di log kesalahan."
"You do not have access to this.","Anda tidak memiliki akses untuk layanan ini."
"Ordered item id is not received.","Id item kutipan tidak diterima."
"Ordered item is not loaded.","Item yang dipesan tidak diterima."
"Quote item id is not received.","Id item Kutipan tidak diterima."
"Quote item is not loaded.","Item kutipan tidak dimuat."
"The wish list item id is not received.","Id item daftar keinginan tidak diterima."
"The wish list item is not loaded.","Item daftar keinginan tidak dimuat."
"An error has occurred. See error log for details.","Sebuah kesalahan telah terjadi. Lihat log kesalahan untuk rinciannya."
"You cannot configure a product.","Anda tidak dapat mengkonfigurasi produk."
"You removed the items.","Anda menghapus item."
"You removed the item.","Anda menghapus item."
"You added %1 to your shopping cart.","%1 ke keranjang belanja Anda."
"You cannot add a product.","Anda tidak dapat menambahkan produk."
"Order by SKU","Pesan menurut SKU"
"The SKU was not found in the catalog.","SKU tidak ditemukan di katalog."
"Availability: Out of stock.","Ketersediaan: Habis."
"We don't have as many of these as you want.","Kami tidak memiliki sebanyak ini yang Anda inginkan."
"You can't add this many to your cart.","Anda tidak dapat menambahkan ini banyak ke keranjang Anda."
"You need to choose options for your item.","Kamu perlu untuk memilih pilihan untuk item kamu."
"We can't add the item to your cart.","Kami tidak dapat menambah item ke keranjang anda."
"Please enter an actual number in the ""Qty"" field.","Harap masukkan nomor sebenarnya di bidang ""Qty""."
"This product is assigned to another website.","Produk ini ditugaskan ke situs web lain."
"You can add only enabled products.","Anda hanya dapat menambahkan produk yang diaktifkan."
"You cannot upload this file.","Anda tidak bisa mengupload file ini."
"The file is empty.","File itu kosong."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Anda belum masuk SKU produk. Harap <a href=""%1"">klik di sini </a> untuk menambahkan produk(s) oleh SKU."
"You have not entered a product SKU.","Anda belum masuk SKU produk."
"We can't add a product to cart by id ""%1"".","Kami tidak dapat menambahkan produk ke keranjang dengan id ""%1""."
"Something went wrong while reordering this product.","Ada yang tidak beres saat memesan ulang produk ini."
"We can't find this wish list.","Kami tidak dapat menemukan daftar keinginan ini."
"You added %1 product to your shopping cart.","Anda menambahkan %1 produk ke keranjang belanja Anda."
"You added %1 products to your shopping cart.","Anda menambahkan %1 produk ke keranjang belanja Anda."
"%1 product requires your attention.","Produk %1 membutuhkan perhatian Anda."
"%1 products require your attention.","produk %1 memerlukan perhatian Anda."
"Yes, for Specified Customer Groups","Ya, untuk Kelompok Pelanggan Tertentu"
"Yes, for Everyone","Ya, untuk semua orang"
No,Tak
"The file is corrupt.","Datanya hilang."
"Please upload the file in .csv format.","Unggah file dalam format .csv."
"%1 item(s) need your attention.","%1 item membutuhkan perhatian anda."
"Apply Coupon Code","Terapkan Kode Kupon"
"Remove Coupon Code","Hapus Kode Kupon"
"The coupon code ""%1"" is not valid.","Kode kupon ""%1"" tidak valid."
"Shopping Cart Items","Item di Keranjang belanja"
Qty,Jml
Discount,Diskon
"Row Subtotal","Subtotal Baris"
Action,Aksi
"No ordered items","Tidak ada barang pesanan"
"Total %1 product(s)","Total %1 produk(s)"
"Please select","Silahkan pilih"
"Move to Wish List","Pindahkan ke wish list"
"No item specified.","Tidak ada item yang ditentukan."
"Are you sure you want to remove this item?","Yakin ingin menghapus barang ini?"
"SKU number","Nomor SKU"
"Upload File","Unggah File"
"Your csv file must include ""sku"" and ""qty"" columns.","File csv Anda harus menyertakan kolom ""sku"" dan ""qty""."
Reset,"Mulai ulang"
"Only <span id=""%1_max_allowed"">%2</span> in stock","Hanya stok <span id = ""%1_max_allowed"">%2 </span>"
Item,Barang
"See price before order confirmation.","Lihat harga sebelum konfirmasi pesanan."
"What's this?","Apa ini?"
"Incl. Tax","Incl. Pajak"
"Excl. Tax","Belum termasuk pajak"
"Edit item parameters","Menyunting parameter item"
Edit,Ubah
"Remove item","Hapus item"
"Products Requiring Attention","Produk yang Membutuhkan Perhatian"
"Add to Cart","Masukkan ke keranjang"
File,Mengajukan
"File extensions allowed: .csv","Ekstensi file diizinkan: .csv"
"Add Row","Menambahkan baris"
"Remove Row","Hapus Baris"
"Add Products By SKU","Tambahkan Produk Dengan SKU"
"Shopping Cart Management","Manajemen Keranjang Belanja"
"View Shopping Cart","Lihat Keranjang Belanja"
"View and modify Shopping Cart","Lihat dan ubah Shopping Cart"
"Order by SKU Settings","Pengaturan Pesan melalui SKU"
"Enable Order by SKU on My Account in Storefront","Aktifkan Pesanan dengan SKU di Akun Saya di etalase"
"Customer Groups","Kelompok pelanggan"
"Apply Coupon","Terapkan Kupon"
"Order by SKU Description","Pesan menurut SKU Deskripsi"
"Display a Link to Loading a Spreadsheet","Tampilkan Tautan untuk Memuat Spreadsheet"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Mendefinisikan apakah ada tautan ke Akun Saya &gt; Order by SKU page akan ditampilkan di widget"
"Link Text","Teks tautan"
"The text of the link to the My Account &gt; Order by SKU page","Teks tautan ke Akun Saya &gt; Pesan melalui halaman SKU"
"Load a list of SKUs","Muat daftar SKU"
"Order by SKU Template","Pesan menurut Template SKU"
"SKU not found in catalog.","SKU tidak ditemukan di katalog."
"This file needs to be in .csv format.","File ini harus dalam format .csv."
"This customer couldn't be found. Verify the customer and try again.","Pelanggan ini tidak dapat ditemukan. Periksa pelanggan dan coba lagi."
"This store couldn't be found. Verify the store and try again.","Toko ini tidak dapat ditemukan. Periksa toko dan coba lagi."
"An error occurred. For details, see the error log.","Terjadi kesalahan. Untuk rincian, lihat log kesalahan."
"The ordered item needs to be loaded. Load the item and try again.","Item pesanan harus dimuat. Muat dan coba lagi."
"The quote item ID needs to be received. Set the ID and try again.","ID item kutipan perlu diterima. Atur ID dan coba lagi."
"The quote item needs to be loaded. Load the item and try again.","Item pesanan harus dimuat. Muat dan coba lagi."
"The wish list item ID needs to be received. Set the ID and try again.","ID item daftar keinginan perlu diterima. Atur ID dan coba lagi."
"The wish list item needs to be loaded. Load the item and try again.","Item daftar keinginan perlu dimuat. Muat item dan coba lagi."
"The file is corrupt and can't be used.","File rusak dan tidak dapat digunakan."
"Please correct the data sent.","Perbaiki data yang dikirim."
"Entity type model '%1' is not found","Model tipe badan ' %1 ' tidak ditemukan"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Model jenis entitas harus berupa instance dari \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Tidak ada jenis produk yang tersedia untuk diekspor"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 kelas tidak mengimplementasikan \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Kaidah Penjualan"
"Index sales rule","Aturan penjualan indeks"
"Related Search Terms","Penelusuran Terkait"
"Add New Search Term","Tambahkan Istilah Pencarian Baru"
button_label,"label tombol"
"Missing search engine parameter.","Parameter mesin telusur yang hilang."
"Successful! Test again?","Sukses! Uji lagi?"
"Connection failed! Test again?","Koneksi gagal! Uji lagi?"
"Enable Search Recommendations","Aktifkan Rekomendasi Pencarian"
"When you enable this option your site may slow down.","Ketika anda memungkinkan ini pilihan anda situs mungkin pelan-pelan."
"Search Recommendations Count","Pencarian rekomendasi menghitung"
"Show Results Count for Each Recommendation","Menunjukkan hasil menghitung untuk masing-masing rekomendasi"
"Enable Search Suggestions","Memungkinkan pencarian saran"
"Search Suggestions Count","Pencarian saran menghitung"
"Show Results Count for Each Suggestion","Menunjukkan hasil menghitung untuk masing-masing saran"
"Related search terms","Terkait pencarian istilah"
"Did you mean","Apakah maksud Anda"
"Search Query","Kueri penelusuran"
Store,Toko
Results,Hasil
Uses,Kegunaan
"Redirect URL","Alihkan URL"
"Suggested Term","Istilah yang Disarankan"
Yes,Iya
Synonym,Sinonim
"RPC call failed, connection timed out after %time_out.","Panggilan RPC gagal, koneksi kehabisan waktu setelah %time_out."
"Message has been rejected: %1","Pesan telah ditolak:%1"
"Error while checking if topic is synchronous","Kesalahan saat memeriksa apakah topik bersifat sinkron"
"Subscription status","Status langganan"
"Sorry, there has been an error processing your request. Please try again later.","Maaf, telah terjadi kesalahan saat memproses permintaan Anda. Silakan coba lagi nanti."
"Time value has an unsupported format","Nilai waktu memiliki format yang tidak didukung"
"Cron settings can't be saved","Setelan cron tidak dapat disimpan"
"There was an error save new configuration value.","Terjadi kesalahan saat menyimpan nilai konfigurasi baru."
"Please select a vertical.","Silahkan pilih vertikal."
"--Please Select--","--Silahkan pilih--"
"Command was not found.","Perintah tidak ditemukan."
"Input data must be string or convertible into string.","Input data harus berupa string atau convertible menjadi string."
"Input data must be non-empty string.","Data masukan harus berupa string yang tidak kosong."
"Not valid cipher method.","Metode cipher tidak valid."
"Encryption key can't be empty.","Kunci enkripsi tidak boleh kosong."
"Source ""%1"" is not exist","Sumber ""%1"" tidak ada"
"These arguments can't be empty ""%1""","Argumen ini tidak boleh kosong ""%1"""
"Cannot find predefined integration user!","Tidak dapat menemukan pengguna integrasi yang telah ditentukan sebelumnya!"
"File is not ready yet.","File belum siap."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","URL Base Anda telah diubah dan laporan Anda sedang diperbarui. Pelaporan Lanjutan akan tersedia setelah perubahan ini diproses. Silakan coba lagi nanti."
"Failed to synchronize data to the Magento Business Intelligence service. ","Gagal menyinkronkan data ke layanan Magento Business Intelligence. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Coba lagi Sinkronisasi</a>"
TestMessage,"Uji pesan"
"Apps and Games","Aplikasi dan Game"
"Athletic/Sporting Goods","Barang olahraga / atletik"
"Art and Design","Seni dan Desain"
"Advanced Reporting","Pelaporan Lanjutan"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Dapatkan wawasan baru dan ambil kendali kinerja bisnis Anda, dengan menggunakan laporan produk, pesanan, dan pelanggan dinamis kami yang disesuaikan dengan data pelanggan Anda."
"Go to Advanced Reporting","Buka Pelaporan Lanjutan"
API,"API unggun"
Configuration,Konfigurasi
"Advanced Reporting Service","Layanan Pelaporan Lanjutan"
"Time of day to send data","Waktu hari untuk mengirim data"
Industry,Industri
"In order to personalize your Advanced Reporting experience, please select your industry.","Untuk mempersonalisasi pengalaman Pelaporan Lanjutan Anda, pilih industri Anda."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong> Dapatkan lebih banyak wawasan dari Magento Business Intelligence</strong>"
"Auto Parts","Bagian otomatis"
"Baby/Children’s Apparel, Gear and Toys","Perlengkapan Bayi/Anak, Gear dan Mainan"
"Beauty and Cosmetics","Kecantikan dan Kosmetik"
"Books, Music and Magazines","Buku, Musik dan Majalah"
"Crafts and Stationery","Kerajinan Tangan dan Alat Tulis"
"Consumer Electronics","Elektronik Konsumen"
"Deal Site","Situs kesepakatan"
"Fashion Apparel and Accessories","Pakaian dan Aksesoris Fashion"
"Food, Beverage and Grocery","Makanan, Minuman dan Kelontong"
"Home Goods and Furniture","Barang rumah dan perabot"
"Home Improvement","Perbaikan rumah"
"Jewelry and Watches","Perhiasan dan Jam"
"Office Supplies","Peralatan Kantor"
"Outdoor and Camping Gear","Outdoor dan Camping Gear"
"Pet Goods","Barang hewan"
"Pharma and Medical Devices","Pharma dan Alat Kesehatan"
"Technology B2B","Teknologi B2B"
Other,Lain
Done,Selesai
"Something went wrong while processing the request.","Ada yang tidak beres saat memproses permintaan."
Details,Rincian
"View Details","Melihat rincian"
"Something went wrong.","Ada sesuatu yang salah."
"Action Log","Log Aksi"
Report,Melaporkan
"Action Logs","Log Aksi"
Summary,Ringkasan
"Start Time","Waktu mulai"
Status,Subjek
Error,Kesalahan
"We can't find the role for the user you wanted.","Kami tidak dapat menemukan peran untuk pengguna yang Anda inginkan."
"You created the order.","Anda membuat pesanan."
"Order saving error: %1","Pesan kesalahan pemesanan: %1"
"Please choose a payment method.","Harap pilih metode pembayaran."
"We can't process your order right now. Please try again later.","Kami tidak dapat memproses pesanan Anda sekarang juga. Silakan coba lagi nanti."
"An error occurred on the server. Please try to place the order again.","Kesalahan terjadi pada server. Silakan coba untuk memesan lagi."
"Invalid transaction ID.","ID transaksi tidak cocok."
"This payment didn't work out because we can't find this order.","Pembayaran ini tidak berhasil karena kami tidak dapat menemukan pesanan ini."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Ada yang tidak beres: jumlah yang dibayarkan tidak sesuai dengan jumlah pesanan. Perbaiki ini dan coba lagi."
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaksi %1 telah dibatalkan/ditolak. Status pembayaran adalah "" %2"". Jumlah %3."
"Authorize Only","Hanya yang Berwenang"
"Authorize and Capture","Otorisasi dan Tangkap"
"Credit Card Type","Tipe kartu kredit"
"Please Select","Silahkan pilih"
"Credit Card Number","Nomor kartu kredit"
"Expiration Date","Tanggal kadaluarsa"
"Card Verification Number","Nomor Verifikasi Kartu"
"Place Order","Tempat pemesanan"
Enabled,Diaktifkan
"Payment Action","Tindakan Pembayaran"
Title,Judul
"Transaction Key","Kunci transaksi"
"New Order Status","Status Orde Baru"
"Test Mode","Mode Uji"
"Gateway URL","URL Gateway"
Debug,Debugging
"Credit Card Types","Jenis Kartu Kredit"
"Payment from Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment from Specific Countries","Pembayaran dari Negara Tertentu"
"Maximum Order Total","Maksimum Orderan Total"
"Sort Order","Urut pesanan"
"Cannot place order.","Tidak dapat melakukan pemesanan."
"Unable to place order. Please try again later.","Tidak dapat melakukan pemesanan. Silakan coba lagi nanti."
Environment,"Lingkungan Hidup"
"Transaction has been declined. Please try again later.","Transaksi telah ditolak. Silakan coba lagi nanti."
options,pilihan
"Select all","Pilih Semua"
"Invalid Form Key. Please refresh the page.","Form Key tidak valid. Silakan segarkan halaman."
"You entered an invalid Secret Key. Please refresh the page.","Anda memasukkan Kunci Rahasia yang tidak benar. Harap segarkan halaman."
"Cache Storage Management","Manajemen Penyimpanan Cache"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Penyimpanan cache mungkin berisi data tambahan. Apakah Anda yakin ingin menyiramnya?"
Invalidated,Batal
Orders,Pesanan
Amounts,Jumlah
Bestsellers,"Penjualan terbaik"
"Most Viewed Products","Produk yang Paling Banyak Dilihat"
"New Customers","Pelanggan baru"
Customer,Pelanggan
Guest,Tamu
Items,Item
Total,Jumlah
"Lifetime Sales","Penjualan Seumur Hidup"
"Average Order","Pesanan rata-rata"
Average,Rata-rata
Views,Tampilan
Revenue,Pendapatan
Tax,Pajak
Shipping,Pengiriman
"Images (.gif, .jpg, .png)","Gambar (.gif, .jpg, .png)"
"All Files","Semua data"
"Reset to Default","Setel ulang ke Default"
"All Store Views","Semua Tampilan Store"
"What is this?","Apa ini?"
"Save Account","Simpan Akun"
"My Account","Akun saya"
"Account Information","Informasi Akun"
"User Name","Nama Pengguna"
"First Name","Nama depan"
"Last Name","Nama Belakang"
Email,E-mail
"User Email","Email pengguna"
"New Password","Kata sandi baru"
"Password Confirmation","Konfirmasi kata kunci"
"Interface Locale","Antarmuka lokal"
"Current User Identity Verification","Verifikasi Identitas Pengguna Saat Ini"
"Your Password","Kata sandi Anda"
"Save Cache Settings","Simpan Setelan Cache"
"Catalog Rewrites","Ransel katalog"
Refresh,Menyegarkan
"Images Cache","Gambar Cache"
Clear,Kosongkan
"Search Index","Indeks Pencarian"
Rebuild,"Membangun kembali"
"Inventory Stock Status","Status Stok Persediaan"
"Rebuild Catalog Index","Rebuild Indeks Katalog"
"Rebuild Flat Catalog Category","Membangun kembali datar katagori katalog"
"Rebuild Flat Catalog Product","Membangun kembali datar produk katalog"
"Cache Control","Kontrol Cache"
"All Cache","Semua cache"
"No change","Tidak ada perubahan"
Disable,Nonaktifkan
Enable,Memungkinkan
"Add Design Change","Tambahkan Perubahan Desain"
Delete,Menghapus
Save,Menyimpan
"Edit Design Change","Edit Perubahan Desain"
"New Store Design Change","Perubahan Desain Toko Baru"
"General Settings","Pengaturan Umum"
"-- Please Select --","-- Silahkan pilih --"
"Custom Design","Desain Kustom"
"Date From","Tanggal dari"
"Date To","Tanggal ke"
"Design Change","Perubahan Desain"
General,Umum
"Delete %1 '%2'","Hapus %1 '%2'"
"Delete %1",Hapus%1
"Block Information","Informasi blok"
"Backup Options","Pilihan cadangan"
"Create DB Backup","Buat DB Backup"
"Delete Store","Hapus Simpan"
"Delete Web Site","Hapus Situs Web"
"Save Web Site","Simpan Situs Web"
"Save Store","Simpan toko"
"Save Store View","Simpan tampilan toko"
"Delete Store View","Hapus tampilan toko"
"Edit Web Site","Edit situs web"
"New Web Site","Situs Web baru"
"Edit Store","Edit toko"
"New Store","Toko baru"
"Edit Store View","Edit tampilan toko"
"New Store View","Tampilan toko baru"
"Store Information","Informasi toko"
"Web Site","Situs web"
Name,Nama
Code,Kode
"Root Category","Kategori akar"
"Default Store View","Tampilan Bawaan Toko"
"Store View Information","Tampilan informasi toko"
Disabled,Cacat
"Web Site Information","Situs Web informasi"
"Default Store","Toko Bawaan"
"Set as Default","Ditetapkan sebagai bawaan"
Stores,Toko
"Create Website","Buat situs Web"
"Create Store","Buat toko"
"Create Store View","Buat tampilan toko"
Home,Rumah
"Are you sure you want to do this?","Apakah Anda yakin ingin melakukan ini?"
"Add New Image","Tambahkan Gambar Baru"
"Export block for grid %1 is not defined","Ekspor blok untuk jaringan %1 tidak didefinisikan"
"Reset Filter","Setel ulang saringan"
Search,Pencarian
Any,"Apa saja"
"All Countries","Semua Negara"
From,Dari
To,Ke
"Date selector","Seleksi tanggal"
"[ deleted ]",[dihapus]
"Select All","Pilih Semua"
" [deleted]"," [dihapus]"
"We couldn't find any records.","Kami tidak bisa menemukan rekaman apapun."
"Add New","Tambah baru"
"Invalid export type supplied for grid export block","Jenis ekspor tidak valid diberikan untuk blok ekspor kisi"
Export,Ekspor
"Please correct the column format and try again.","Perbaiki format kolom dan coba lagi."
"Please select items.","Silakan pilih item."
Submit,Menyerahkan
"Unknown block type","Jenis blok tidak diketahui"
"Please correct the tab configuration and try again. Tab Id should be not empty","Perbaiki konfigurasi tab dan coba lagi. Id Tab seharusnya tidak kosong"
"Please correct the tab configuration and try again.","Perbaiki konfigurasi tab dan coba lagi."
"You have logged out.","Kamu telah keluar."
"Specified cache type(s) don't exist: %1","Tipe(s) cache spesifik tidak ditemukan: %1"
"The image cache was cleaned.","Cache gambar sudah dibersihkan."
"An error occurred while clearing the image cache.","Terjadi kesalahan saat membersihkan cache gambar."
"The JavaScript/CSS cache has been cleaned.","Cache JavaScript / CSS telah dibersihkan."
"An error occurred while clearing the JavaScript/CSS cache.","Terjadi kesalahan saat menghapus cache JavaScript/CSS."
"The static files cache has been cleaned.","Cache file statis telah dibersihkan."
"You flushed the cache storage.","Anda memerah penyimpanan cache."
"The Magento cache storage has been flushed.","Penyimpanan cache Magento telah memerah."
"Cache Management","Manajemen Cache"
"You can't change status of cache type(s) in production mode","Anda tidak dapat mengubah status tipe cache dalam mode produksi"
"%1 cache type(s) disabled.","% 1 jenis cache dinonaktifkan."
"An error occurred while disabling cache.","Terjadi kesalahan saat menonaktifkan cache."
"%1 cache type(s) enabled.","%1 jenis cache(s) diaktifkan."
"An error occurred while enabling cache.","Terjadi kesalahan saat mengaktifkan cache."
"%1 cache type(s) refreshed.","% 1 jenis cache disegarkan."
"An error occurred while refreshing cache.","Terjadi kesalahan saat menyegarkan cache."
Dashboard,Dasbor
"We updated lifetime statistic.","Kami memperbarui statistik seumur hidup."
"We can't refresh lifetime statistics.","Kami tidak dapat menyegarkan statistik seumur hidup."
"invalid request","permintaan tidak sah"
"see error log for details","lihat log kesalahan untuk rinciannya"
"Service unavailable: %1","Layanan tidak tersedia:% 1"
"Access Denied.","Akses ditolak."
"You need more permissions to do this.","Anda membutuhkan lebih banyak izin untuk melakukan ini."
